,2021-11-23,2021-04-20,2021-08-26,2021-12-21,2021-05-17,2021-10-18,2021-09-01,2021-09-28,2022-02-08,2021-09-14,2021-06-07,2021-11-09,2021-11-30,2021-10-27,2021-11-10,2021-10-04,2021-10-05,2021-09-19,2022-01-27,2021-06-22
Initial Price,161.41000366210938,132.49212646484375,147.32498168945312,,125.89735412597656,146.33642578125,152.28773498535156,141.70318603515625,,147.9041290283203,125.52845001220705,150.80999755859375,165.3000030517578,148.63308715820312,147.9199981689453,138.93722534179688,140.90435791015625,,,133.5845947265625
5 days,161.14000244140624,132.89822692871093,150.50035095214844,,125.33900756835938,148.33151245117188,154.22691040039064,141.3996337890625,,146.7737823486328,126.27224731445312,149.31799926757813,164.1980010986328,149.82134704589845,149.3559997558594,141.48151245117188,142.21444396972657,,,133.4011474609375
5 days label,False,True,True,,False,True,True,False,,False,True,False,False,True,True,True,True,,,False
10 days,163.2570007324219,132.68522033691406,152.51940460205077,,125.5573600769043,148.97457885742188,151.9781921386719,141.80703887939453,,146.12073822021483,128.1955535888672,153.0520004272461,169.7,150.3645980834961,154.11200103759765,142.0197280883789,142.75964813232423,,,135.7501968383789
10 days label,True,True,True,,False,True,False,True,,False,True,True,True,True,True,True,True,,,True
20 days,168.66947374845805,129.62858924865722,149.6311180114746,,125.71638984680176,149.43046646118165,148.42987060546875,143.91695861816407,,143.9638885498047,131.48830947875976,158.15450057983398,170.9546661376953,152.23829956054686,159.36800079345704,145.49715347290038,145.9874382019043,,,140.4443000793457
20 days label,True,False,True,,False,True,False,True,,False,True,True,True,True,True,True,True,,,True
60 days,168.66947374845805,131.0091517130534,147.8952323913574,,136.12518221537272,158.38354085286457,148.64033228556315,154.50029767569848,,150.0762491861979,141.5827194213867,163.28413812045395,170.9546661376953,160.21252602025083,163.72964314052038,155.40830216841263,155.71332210964627,,,145.87481206258138
60 days label,True,False,True,,True,True,False,True,,True,True,True,True,True,True,True,True,,,True
